"departamento",año,valor
"Tacuarembó",2016,46.9
"Treinta y Tres",2016,46.5
"Montevideo",2017,74.9
"Artigas",2017,46.5
"Canelones",2017,64.9
"Cerro Largo",2017,51.3
"Colonia",2017,63.2
"Durazno",2017,50.1
"Flores",2017,59.4
"Florida",2017,66.6
"Lavalleja",2017,67.1
"Maldonado",2017,65.1
"Paysandu",2017,59.2
"Rio Negro",2017,59.4
"Rivera",2017,53.5
"Rocha",2017,54.9
"Salto",2017,64.2
"San José",2017,64.8
"Soriano",2017,70.3
"Tacuarembó",2017,39.2
"Treinta y Tres",2017,49.5
"Montevideo",2018,77.2
"Artigas",2018,47.1
"Canelones",2018,66.5
"Cerro Largo",2018,51.3
"Colonia",2018,65.9
"Durazno",2018,52
"Flores",2018,60.8
"Florida",2018,74.1
"Lavalleja",2018,70.8
"Maldonado",2018,69.2
"Paysandu",2018,60.7
"Rio Negro",2018,61.7
"Rivera",2018,58
"Rocha",2018,53.3
"Salto",2018,52.8
"San José",2018,64.1
"Soriano",2018,76.6
"Tacuarembó",2018,43.4
"Treinta y Tres",2018,47.2
